,start_time,end_time,data_source,regressor_name,num_samples,num_skipped,reaction_count_mean,reaction_count_stdev,feature_generator,num_features,error
0,Sat May 20 12:33:45 2017,Sat May 20 12:34:26 2017,foxnews+nytimes+theguardian,DecisionTree,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_100,100,0.14241380031908474
0,Sat May 20 12:33:47 2017,Sat May 20 12:35:44 2017,bild+spiegelonline+ihre.sz,SVRLinear,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.1229200766430645
0,Sat May 20 12:33:46 2017,Sat May 20 12:42:06 2017,bild+spiegelonline+ihre.sz,SVRRbf,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_500,500,0.13486088465158175
0,Sat May 20 12:33:45 2017,Sat May 20 12:42:47 2017,foxnews+nytimes+theguardian,SVRSigmoid,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.12666645148081626
0,Sat May 20 12:33:46 2017,Sat May 20 12:40:47 2017,foxnews+nytimes+theguardian,RandomForest,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.10973781488336272
0,Sat May 20 12:33:44 2017,Sat May 20 12:43:16 2017,foxnews+nytimes+theguardian,SVRPoly,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_1000,1000,0.1293069225843418
0,Sat May 20 12:33:48 2017,Sat May 20 12:37:30 2017,bild+spiegelonline+ihre.sz,KNeighbours,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_500,500,0.11436687300060075
0,Sat May 20 12:33:45 2017,Sat May 20 12:35:08 2017,foxnews+nytimes+theguardian,ExtraTrees,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_250,250,0.10633993730232533
0,Sat May 20 12:33:45 2017,Sat May 20 12:39:02 2017,foxnews+nytimes+theguardian,SVRRbf,14582,309,5573.97622725136,16507.198274998085,text_tfidf_bow_500,500,0.12317346584269664
0,Sat May 20 12:33:45 2017,Sat May 20 12:36:15 2017,bild+spiegelonline+ihre.sz,GradientBoosting,19921,1656,941.8332947119618,2648.9823406212618,text_tfidf_bow_100,100,0.11240932901123286
